frequency,word,skip1,skip2
3187,lived,vvd,1157
3185,write,vvb,1082
3161,welsh,aj0,671
3152,heard,vvd-vvn,1160
3145,queen,nn1,753
3131,films,nn2,705
3110,watch,vvi,1173
3103,worry,vvi,1027
3099,spent,vvd,1234
3097,bread,nn1,971
3092,shoes,nn2,957
3090,drama,nn1,825
3085,solid,aj0,1205
3075,noted,vvn,1052
3072,bring,vvb,1408
3064,sarah,np0,441
3057,tired,aj0,1014
3028,catch,vvi,1207
3026,liked,vvd,908
3023,fewer,dt0,1212
3013,truly,av0,1339
3013,share,vvi,1397
3011,fault,nn1,1182
3005,rough,aj0,1224
3001,black,np0,866
2996,thick,aj0,1022
2980,frame,nn1,1005
2975,jesus,np0,468
2973,exist,vvi,1235
2966,queen,np0,844
2965,close,aj0-av0,1276
2963,clear,vvi,1324
2958,scott,np0,657
2948,tools,nn2,939
2947,plate,nn1,886
2938,pilot,nn1,724
2930,armed,aj0,561
2928,feels,vvz,1180
2925,green,np0,845
2923,fight,vvi,1068
2922,threw,vvd,975
2917,sweet,aj0,939
2916,skill,nn1,1149
2911,faces,nn2,1047
2911,bound,vvn,1296
2909,meant,vvn,1365
2905,sleep,nn1,834
2898,proud,aj0,1165
2896,depth,nn1,1124
2892,adult,aj0-nn1,883
2888,agree,vvb,1061
2882,start,vvb,1170
2880,spent,vvd-vvn,1328
2880,march,nn1-np0,807
2874,break,nn1,1154
2866,sugar,nn1,728
2865,beach,nn1,641
2858,prize,nn1,917
2854,moral,aj0,748
2844,limit,nn1,1065
2819,funny,aj0,844
2809,anger,nn1,870
2790,ideal,aj0,1066
2784,about,avp-prp,914
2776,reply,nn1,1048
2776,given,aj0,882
2774,tough,aj0,1056
2765,grand,aj0,1105
2745,sleep,vvi,886
2729,alone,aj0,1114
2727,ratio,nn1,578
2716,check,vvi,1115
2705,chose,vvd,1287
2704,allow,vvb,1150
2703,drive,vvi,1130
2700,roles,nn2,902
2695,young,np0,878
2695,finds,vvz,1195
2693,songs,nn2,599
2675,abuse,nn1,749
2674,newly,av0,1247
2670,sheep,nn0,735
2670,input,nn1,528
2664,false,aj0,1111
2663,round,aj0,1042
2645,loans,nn2,546
2641,roman,aj0,615
2641,keith,np0,583
2625,pound,nn1,717
2622,rocks,nn2,592
2621,bills,nn2,735
2616,nurse,nn1,591
2611,worth,nn1,1189
2606,forty,crd,1001
2603,waste,nn1,857
2600,minds,nn2,1175
2597,lords,np0,529
2594,claim,vvi,1164
2590,taxes,nn2,585
2579,grant,nn1,615
2574,right,nn0,1143
2573,admit,vvi,1170
2566,cried,vvd,578
2561,loved,vvd,771
2544,trust,nn0,608
2543,unity,nn1,671
2539,waves,nn2,755
2539,hoped,vvd,1024
2537,clock,nn1,880
2528,fixed,aj0,885
2525,fight,nn1,945
2524,buyer,nn1,417
2511,carry,vvb,1164
2508,argue,vvi,1057
2506,knife,nn1,777
2505,begin,vvb,1137
2504,proof,nn1,1074
2501,cycle,nn1,818
2487,offer,vvb,1085
2483,votes,nn2,403
2473,helen,np0,443
2473,flesh,nn1,791
2465,ships,nn2,681
2465,given,aj0-vvn,1233
2458,dozen,crd,1119
2449,pitch,nn1,669
2443,knees,nn2,792
2402,enjoy,vvb,1066
2393,trend,nn1,917
2392,wheel,nn1,805
2384,state,nn1-vvb,795
2383,pride,nn1,1045
2379,roger,np0,737
2376,layer,nn1,694
2366,shirt,nn1,708
2362,dance,nn1,673
2356,holes,nn2,727
2353,watch,nn1,854
2349,needs,nn2-vvz,1071
2337,texts,nn2,449
2335,smoke,nn1,778
2332,study,vvi,993
2326,steel,nn1,836
2304,hills,nn2,729
2299,dirty,aj0,933
2299,apply,vvb,851
2297,topic,nn1,794
2288,smell,nn1,769
2288,score,nn1,690
2286,outer,aj0,828
2282,roots,nn2,939
2282,coach,nn1,563
2281,links,nn2,927
2280,alice,np0,308
2277,laura,np0,256
2264,wings,nn2,745
2261,lloyd,np0,510
2259,acute,aj0,755
2248,boots,nn2,709
2242,exist,vvb,937
2230,marry,vvi,634
2227,grand,np0,581
2226,tends,vvz,915
2226,holds,vvz,1083
2225,cheap,aj0,1025
2221,lived,vvd-vvn,1028
2221,jimmy,np0,426
2221,guest,nn1,816
2219,meals,nn2,715
2211,hoped,vvn,1103
2199,logic,nn1,871
2198,draft,nn1,578
2194,river,np0,659
2190,bands,nn2,612
2189,fears,nn2,946
2184,squad,nn1,431
2179,final,aj0-nn1,512
